Company Name,Location,Description,Season,Type,Categories
"Embeddables","San Francisco, CA, USA","The funnel builder built for health & wellness brands.","Summer 2018","B2B","Productivity"
"Inscribe","San Francisco, CA, USA","Risk Ops Automation","Summer 2018","B2B","Infrastructure"
"Activeloop","Mountain View, CA, USA","Database for AI","Summer 2018","B2B","Infrastructure"
"Swayable","New York, NY, USA","Swayable predicts consumer opinion and the impact of content","Winter 2018","B2B","Marketing"
"DemandSphere","Columbus, OH, USA","SEO & Content Marketing Intelligence","Summer 2010","B2B","Marketing"
"Cognition IP","San Francisco, CA, USA","Flat-fee patent & trademark counsel with top firm results","Winter 2018","B2B","Legal"
"Sourcify","San Diego, CA, USA","Sourcify helps brands manufacture products in Asia.","Winter 2018","B2B","Retail"
"Draftbit","Chicago, IL, USA","Build mobile apps visually. Source-code included.","Winter 2018","B2B","Engineering, Product and Design"
"Glowing.io","Las Vegas, NV, USA","Unified, enterprise messaging platform for leading brands of the world","Winter 2018","B2B",""
"Assembly","New York, NY, USA","Create remarkable client experiences","Winter 2018","B2B","Productivity"
"Sourceress","San Francisco, CA, USA","Summer 2017","B2B","Engineering, Product and Design",""
"Flowspace","Los Angeles, CA, USA","The operating system powering ecommerce fulfillment","Summer 2017","B2B","Supply Chain and Logistics"
"Upfort","San Francisco, CA, USA","Turnkey security & hassle-free cyber insurance from leading insurers","Summer 2017","B2B","Security"
"Plane","San Francisco, CA, USA","#1 easiest-to-use payroll for startups","Winter 2017","B2B","Human Resources"
"RankScience","New York, NY, USA","Automated SEO for Startups","Winter 2017","B2B","Marketing"
"Voiceops","New York, NY, USA","We help B2C companies learn from every customer interaction","Winter 2017","B2B","Sales"
"Humanly","Bellevue, WA, USA","We empower the world’s hiring teams to grow engaged, high-performing…","Winter 2020","B2B","Recruiting and Talent"
"Recall.ai","San Francisco, CA, USA","The API to get recordings, transcripts, and metadata from meetings","Winter 2020","B2B","Engineering, Product and Design"
"Stable","San Francisco, CA, USA","A virtual address + mailbox for business","Winter 2020","B2B","Office Management"
"Handl","San Francisco, CA, USA","Handl converts documents (invoices, income stabs, custom forms, etc.)…","Winter 2020","B2B","Operations"
"Expo","Palo Alto, CA, USA","Expo brings together the best of web and native app development","Summer 2016","B2B","Infrastructure"
"HireSweet","San Francisco, CA, USA","A talent acquisition software built for data-driven recruiting teams.","Winter 2020","B2B","Recruiting and Talent"
"Zeo Route Planner","San Francisco, CA, USA","Route Optimisation platform for SMB in delivery & home services.","Winter 2020","B2B","Supply Chain and Logistics"
"DeepSource","San Francisco, CA, USA","Unified DevSecOps platform, helping developers ship good code.","Winter 2020","B2B","Engineering, Product and Design"
"Recurrency","San Francisco, CA, USA","Automated ERP for distributors.","Summer 2020","B2B","Sales"
"Skypher","New York, NY, USA","AI agent for Compliance Questionnaires Automation","Winter 2020","B2B","Security"
"Alloy Automation","New York, NY, USA","Alloy is a platform for building and managing SaaS integrations","Winter 2020","B2B","Engineering, Product and Design"
"Vori","East Palo Alto, CA, USA","Vori is a modern operating system for supermarkets","Winter 2020","B2B","Retail"
"BuildBuddy","Palo Alto, CA, USA","BuildBuddy provides enterprise features for Bazel — the open source…","Winter 2020","B2B","Infrastructure"
"Release","Los Angeles, CA, USA","Environments as a service","Winter 2020","B2B","Engineering, Product and Design"
"Benepass","New York, NY, USA","Fintech for corporate compensation","Winter 2020","B2B","Human Resources"
"Eze","San Francisco, CA, USA","The easiest way to track, buy, and sell your company’s tech — all in…","Winter 2020","B2B","Retail"
"Nextmv","Philadelphia, PA, USA","A DecisionOps platform that accelerates optimization AI teams","Winter 2020","B2B","Engineering, Product and Design"
"Ditto","San Francisco, CA, USA","Manage the words across your team’s product from design to production.","Winter 2020","B2B","Engineering, Product and Design"
"Taiv","Winnipeg, MB, Canada","Taiv uses AI to make businesses TVs more entertaining & valuable.","Winter 2020","B2B","Marketing"
"Letterdrop","New York, NY, USA","Book more meetings with conversational intent","Winter 2020","B2B","Sales"
"Explo","San Francisco, CA, USA","Embedded Analytics and Data Sharing Platform","Winter 2020","B2B","Analytics"
"MindsDB","San Francisco, CA, USA","Connect, Unify, Respond to any data, anywhere with human-level…","Winter 2020","B2B","Infrastructure"
"Porter","New York, NY, USA","Easiest way to deploy on AWS/GCP/Azure","Summer 2020","B2B","Infrastructure"
"Paragon","Los Angeles, CA, USA","The embedded integration platform for SaaS apps.","Winter 2020","B2B","Engineering, Product and Design"
"Accord","San Francisco, CA, USA","The Revenue Excellence Platform","Winter 2020","B2B","Sales"
"Vendr","Boston, MA, USA","The AI negotiation agent to help you save money on SaaS.","Summer 2019","B2B","Operations"
"GitStart","San Francisco, CA, USA","Pull Requests as a Service","Summer 2019","B2B","Engineering, Product and Design"
"Circa","Santa Fe, NM, USA","Event marketing CRM","Summer 2016","B2B","Marketing"
"Taskade","San Francisco, CA, USA","One prompt. One app. One living workspace for teams.","Summer 2019","B2B","Productivity"
"treble.aiSão","Paulo, SP, Brazil","We help companies scale marketing campaigns through WhatsApp","Summer 2019","B2B","Marketing"
"Traces","Mountain View, CA, USA","Transform your video monitoring with AI","Summer 2019","B2B","Security"
"Wasmer","San Francisco, CA, USA","The Operating System for Edge Computing","Summer 2019","B2B","Infrastructure"
"Rutter","New York, NY, USA","The Unified API for Business Financial Data","Summer 2019","B2B","Engineering, Product and Design"
"Flo Recruit","Austin, TX, USA","We help law firms hire the best legal talent faster","Summer 2019","B2B","Recruiting and Talent"
"Canix","San Francisco, CA, USA","Canix makes it easy to get and stay compliant as a cannabis business.","Summer 2019","B2B","Security"
"Courier","San Francisco, CA, USA","The fastest way for developers to build notifications for their app.","Summer 2019","B2B","Engineering, Product and Design"
"FIRST","Philadelphia, PA, USA","The best way for any business to offer delivery.","Winter 2019","B2B","Operations"
"Glide","San Francisco, CA, USA","Glide turns spreadsheets into beautiful, intelligent apps.","Winter 2019","B2B","Engineering, Product and Design"
"Dover","New York, NY, USA","Your startup's all-in-one recruiting solution","Summer 2019","B2B","Recruiting and Talent"
"Dagger","San Francisco, CA, USA","Develop your CI/CD pipelines as code and run them anywhere","Winter 2019","B2B","Engineering, Product and Design"
"Landed","San Francisco, CA, USA","Generative AI for frontline worker hiring","Winter 2019","B2B","Recruiting and Talent"
"Mobot","New York, NY, USA","Mobot is a QA-as-a-service platform using actual mechanical robots","Winter 2019","B2B","Engineering, Product and Design"
"Superorder","New York, NY, USA","AI customer reputation & performance management for restaurant chains.","Summer 2019","B2B",""
"Okteto","San Francisco, CA, USA","Cloud Development Environments with one click","Winter 2019","B2B","Infrastructure"
"Switchboard","Vancouver, BC, Canada","Technology for Trucking","Winter 2019","B2B","Supply Chain and Logistics"
"Avo","San Francisco, CA, USA","Fixing data quality in product analytics.","Winter 2019","B2B","Analytics"
"Sorting Robotics","Los Angeles, CA, USA","We create automation technology for the cannabis industry.","Winter 2019","B2B","Supply Chain and Logistics"
"Convictional","Toronto, ON, Canada","Convictional is reinventing business operations","Winter 2019","B2B","Operations"
"Spire Law","Orlando, FL, USA","Tech enabled business and employment litigation law firm.","Winter 2019","B2B","Legal"
"Flockjay","San Francisco, CA, USA","AI-driven learning, content, and coaching for sales teams","Winter 2019","B2B","Sales"
"NuCypher (aka Threshold Network)","Austin, TX, USA","Network for decentralized threshold cryptography and end-to-end…","Summer 2016","B2B",""
"Imgix","San Francisco, CA, USA","The platform for your visual media.","Summer 2011","B2B","Infrastructure"
"Videopixie","San Francisco, CA, USA","Marketplace for Video Production Services. We help you hire the best…","Summer 2011","B2B","Marketing"
"MixRank","San Francisco, CA, USA","Data products for sales, marketing, finance, recruiting, and more.","Summer 2011","B2B",""
"NetBeez","Pittsburgh, PA, USA","Network monitoring from the end-user perspective","Winter 2016","B2B","Infrastructure"
"LeadGenius","Berkeley, CA, USA","LeadGenius is an account-based marketing and lead generation…","Summer 2011","B2B","Sales"
"Thunkable","San Francisco, CA, USA","Thunkable is the no-code platform to build powerful native mobile apps","Winter 2016","B2B","Marketing"
"Castle","San Francisco, CA, USA","Block bots & bad behavior","Winter 2016","B2B","Security"
"Revl","San Francisco, CA, USA","AI edited video souvenirs as a service","Winter 2016","B2B","Marketing"
"PocketSuite","San Francisco, CA, USA","PocketSuite makes it easy for your clients to book and pay you","Winter 2016","B2B","Productivity"
"Gigwell","Los Angeles, CA, USA","Building the Future of Live Event Bookings.","Winter 2016","B2B","Productivity"
"Copia","San Francisco, CA, USA","Copia's a for-profit technology company that solves food waste &…","Winter 2016","B2B","Office Management"
"Pagelever","San Francisco, CA, USA","Facebook analytics. Acquired by Unified in January 2013.","Summer 2011","B2B","Analytics"
"Foxpass","San Francisco, CA, USA","Making enterprise security practices available for all companies.","Summer 2015","B2B","Security"
"Eden","San Francisco, CA, USA","Workplace software for people-centric companies.","Summer 2015","B2B","Human Resources"
"Citus Data","San Francisco, CA, USA","Real-time. Big data. PostgreSQL","Summer 2011","B2B","Infrastructure"
"Jopwell","New York, NY, USA","Career advancement for Black, Latinx & Native American professionals.","Summer 2015","B2B","Recruiting and Talent"
"SigOpt","San Francisco, CA, USA","SigOpt is an Optimization-as-a-Service platform that seamlessly tunes…","Winter 2015","B2B","Engineering, Product and Design"
"Popular Pays","Chicago, IL, USA","Software for collaborating with content creators and influencers","Winter 2015","B2B","Marketing"
"Moltin","Boston, MA, USA","eCommerce building blocks through simple APIs for websites & apps.…","Winter 2015","B2B","Retail"
"NexTravel","San Francisco, CA, USA","NexTravel is a centralized travel booking platform that helps…","Winter 2015","B2B","Finance and Accounting"
"YhatNY, USA","","End-to-end data science lifecycle management platform.","Winter 2015","B2B","Engineering, Product and Design"
"Mobydish","Austin, TX, USA","MobyDish, a tech-enabled service, allowing anyone to place a catering…","Winter 2015","B2B","Retail"
"Smarking","San Francisco, CA, USA","Digitize $655B parking industry","Winter 2015","B2B","Analytics"
"PaperspaceNY, USA","","Paperspace is a cloud platform for building and scaling AI…","Winter 2015","B2B","Engineering, Product and Design"
"HigherMe","Toronto, ON, Canada","Helping restaurant employers find & hire better employees faster","Winter 2015","B2B","Recruiting and Talent"
"Smyte","San Francisco, CA, USA","Smyte stops bad actors on social networks and marketplaces.","Winter 2015","B2B","Security"
"Replenish","San Leandro, CA, USA","Keurig machine for smoothies.","Summer 2014","B2B","Office Management"
"PersistIQ","San Mateo, CA, USA","PersistIQ is a free email automation platform to send a small batch…","Summer 2014","B2B","Sales"
"Clara Labs","San Francisco, CA, USA","Clara is a human-in-the-loop assistant that helps automate repetitive…","Summer 2014","B2B","Productivity"
"Aptible","San Francisco, CA, USA","The No Infrastructure Platform as a Service","Summer 2014","B2B","Infrastructure"
"Avametric","San Francisco, CA, USA","Simulate clothes on your body.","Winter 2014","B2B","Engineering, Product and Design"
"Wit.ai","Palo Alto, CA, USA","Natural Language for Developers --Wit is an API that makes it easy…","Winter 2014","B2B","Engineering, Product and Design"
"SketchDeck","San Francisco, CA, USA","Operating system for creative agencies","Winter 2014","B2B","Productivity"
"Rickshaw","San Francisco, CA, USA","Same day local delivery, via API. Currently operating in SF.","Winter 2014","B2B","Supply Chain and Logistics"
"Liftigniter","San Francisco, CA, USA","Machine Learning personalization for dynamic digital properties -…","Winter 2014","B2B","Marketing"
"Next Caller","New York, NY, USA","Next Caller creates a positive customer experience through real-time…","Winter 2014","B2B","Sales"
"Kimono Labs","San Francisco, CA, USA","Create APIs where they don't exist. With kimono you can quickly…","Winter 2014","B2B","Engineering, Product and Design"
"Chargehound","Oakland, CA, USA","Automate your chargeback dispute process. (Acquired by PayPal)","Winter 2014","B2B","Finance and Accounting"
"Two Tap","San Francisco, CA, USA","Two Tap connects retailers to companies that want to sell their…","Winter 2014","B2B","Retail"
"Boostable","San Francisco, CA, USA","Advertising platform tools for marketplace sellers.","Winter 2014","B2B","Marketing"
"Abacus","New York, NY, USA","Making expense reports obsolete","Winter 2014","B2B","Finance and Accounting"
"Datarank","Fayetteville, AR, USA","Making sense of social data. (Acquired by SimplyMeasured.)","Summer 2013","B2B","Marketing"
"Hackermeter","San Francisco, CA, USA","Replacing resume screening with code challenges.","Summer 2013","B2B","Recruiting and Talent"
"Apptimize","San Francisco, CA, USA","Apptimize lets mobile teams innovate faster to create an amazing user…","Summer 2013","B2B","Engineering, Product and Design"
"URX","San Francisco, CA, USA","Mobile ads that users like. Acquired by Pinterest in May 2016.","Summer 2013","B2B","Engineering, Product and Design"
"Semantics3","San Francisco, CA, USA","Data and AI platform for Ecommerce & Cross-Border Logistics","Winter 2013","B2B","Retail"
"Mattermark","San Francisco, CA, USA","Big Data Meets Startup Investing The best tool for tracking and…","Summer 2012","B2B","Sales"
"Swiftype","San Francisco, CA, USA","Smart search for the modern team.","Winter 2012","B2B","Engineering, Product and Design"
"Natero","Mountain View, CA, USA","Data-driven customer success platform for B2B SaaS.","Summer 2012","B2B","Operations"
"OmniVirt","San Francisco, CA, USA","OmniVirt is the leading VR Advertising platform for brands and…","Summer 2012","B2B","Marketing"
"Pixate","Palo Alto, CA, USA","Mobile application prototyping. Now part of Google.","Summer 2012","B2B","Infrastructure"
"Clickfacts","San Francisco, CA, USA","Summer 2005","B2B","Security",""
"Wufoo","Tampa, FL, USA","Online form builder.","Winter 2006","B2B","Marketing"
"Inkling","Chicago, IL, USA","Winter 2006","B2B","Finance and Accounting","XobniSan Francisco, CA, USA"
"Summer 2006","","B2B","Productivity","ClickpassSan Francisco, CA, USA","Summer 2007"
"B2B","","Engineering, Product and Design","","",""
"ZumoDrive","Burlingame, CA, USA","Media in the cloud","Summer 2007","B2B","Productivity"
"Disqus","San Francisco, CA, USA","Add comments to your website.","Summer 2007","B2B","Engineering, Product and Design"
"280 North","San Francisco, CA, USA","Winter 2008","B2B","Engineering, Product and Design",""
"Sepal AI","San Francisco, CA, USA","Data Development for Advanced AI","Summer 2024","B2B","ChuteSan Francisco, CA, USA"
"Discover the photos and videos people are taking of your brand or…","","Winter 2012","B2B","Marketing",""
"Fern","New York, NY, USA","Instantly offer SDKs and API Docs","Winter 2023","B2B","Engineering, Product and Design"
"PlayAI","Mountain View, CA, USA","Our mission is to make Voice AI accessible and useful to all.","Winter 2023","B2B","CloudkickSan Francisco, CA, USA"
"Winter 2009","","B2B","Infrastructure","",""
"Truva","San Francisco, CA, USA","Sell more. Grind less with AI agents.","Summer 2022","B2B","Marketing"
"HOAi","San Francisco, CA, USA","AI agent for community management","Winter 2022","B2B","Operations"
"Requestly","San Francisco, CA, USA","Open-Source Postman alternative","Winter 2022","B2B","Engineering, Product and Design"
"SkyLink","New York, NY, USA","Travel Management Meets AI","Winter 2022","B2B",""
"Proper","San Francisco, CA, USA","Reconciliation and financial operations platform","Winter 2022","B2B","Finance and Accounting"
"RethinkDB","San Francisco, CA, USA","The open source database for the realtime web.","Summer 2009","B2B","Infrastructure"
"Breadcrumbs.io","San Francisco, CA, USA","No-code scoring engine identifying your most engaged upsell opps","Summer 2021","B2B","Sales"
"Tarsal","New York, NY, USA","Data pipeline for your security data lake.","Summer 2021","B2B","Security"
"Goodkind","Toronto, ON, Canada","Student communications platform for higher education","Summer 2021","B2B","Sales"
"Uiflow","San Francisco, CA, USA","No-code platform for enterprise software companies","Winter 2021","B2B","Engineering, Product and Design"
"Enable Us","San Francisco, CA, USA","Digital Sales Rooms (Acquired by MindTickle)","Winter 2021","B2B","Sales"
"Trendpop","San Francisco, CA, USA","Discover trends as they happen","Winter 2021","B2B","Analytics"
"Promoted.ai","San Francisco, CA, USA","Dramatically better search and ads for marketplaces","Winter 2021","B2B","ZencoderSan Francisco, CA, USA"
"Video Encoding API, Open source video player (video.js)","","Winter 2010","B2B","Infrastructure",""
"Aquarium Learning","San Francisco, CA, USA","We help ML teams improve their models by improving their datasets","Summer 2020","B2B","Infrastructure"
"Humanloop","San Francisco, CA, USA","Humanloop is the LLM evals platform for enterprises.","Summer 2020","B2B","Engineering, Product and Design"
"Finmark","Raleigh, NC, USA","Financial planning software for startups","Summer 2020","B2B","Finance and Accounting"
"Command AI","San Francisco, CA, USA","AI-powered user assistance platform","Summer 2020","B2B","Engineering, Product and Design"
"All Screen","Santa Monica, CA, USA","Connecting users with engaging video content across the web.…","Winter 2010","B2B","Marketing"
"Shelf Engine","Seattle, WA, USA","Transforms how grocery stores buy highly perishable foods.","Summer 2018","B2B","Retail"
"Berbix","San Francisco, CA, USA","Convert more verified users. Instantly & accurately validate user IDs.","Summer 2018","B2B","Engineering, Product and Design"
"Searchlight","San Francisco, CA, USA","Talent AI improving quality of hire","Winter 2019","B2B","Recruiting and Talent"
"Zyper","San Francisco, CA, USA","Recreating social networks for brands.","Winter 2018","B2B","Marketing"
"YouTeam","Mountain View, CA, USA","We make it easy for startups to hire engineers.","Winter 2018","B2B","Recruiting and Talent"
"AeroFS","Palo Alto, CA, USA","Secure Enterprise Collaboration.","Summer 2010","B2B","Infrastructure"
"Lawyaw","San Francisco, CA, USA","Automating document-based workflows","Winter 2018","B2B","Legal"
"CodeStream","New York, NY, USA","CodeStream is a Developer Collaboration Platform designed to…","Winter 2018","B2B","Engineering, Product and Design"
"Chartio","San Francisco, CA, USA","Chartio is changing how companies work by building the best…","Summer 2010","B2B","Analytics"
"ClearBrain","San Francisco, CA, USA","Causal Analytics for Growth Teams","Winter 2018","B2B","Marketing"
"Pulse","San Francisco, CA, USA","We're crowdsourced Gartner so IT executives can learn directly from…","Winter 2018","B2B","Productivity"
"PullRequest","Austin, TX, USA","Code review as a service - combining automation with a network of…","Summer 2017","B2B","Engineering, Product and Design"
"Templarbit","San Francisco, CA, USA","Protecting applications from malicious activity","Summer 2017","B2B","Security"
"Lyrebird","Montreal, QC, Canada","Our tech speaks for itself.","Summer 2017","B2B","Engineering, Product and Design"
"Peer5","Palo Alto, CA, USA","P2P delivery network that enables high quality video streaming","Winter 2017","B2B","Infrastructure"
"Bulletin","New York, NY, USA","Helping retailers discover and shop the best brands on the planet","Winter 2017","B2B","Retail"
"Custora","New York, NY, USA","Custora is a predictive analytics platform for e-commerce marketing…","Winter 2011","B2B","Analytics"
"Earbits","Los Angeles, CA, USA","Google AdWords for music. Allowing bands and labels to bid for…","Winter 2011","B2B","Marketing"
"Upverter","Toronto, ON, Canada","The future of hardware design. A marketplace for hardware engineering…","Winter 2011","B2B","Engineering, Product and Design"
"Metaplane","Boston, MA, USA","Data observability for modern data teams","Winter 2020","B2B","Engineering, Product and Design"
"Replicate","San Francisco, CA, USA","Run machine learning models in the cloud","Winter 2020","B2B","Infrastructure"
"Factored Quality","New York, NY, USA","Helping 100+ brands bring all quality and compliance operations…","Winter 2020","B2B","Supply Chain and Logistics"
"CrowdAI","San Francisco, CA, USA","CrowdAI is the world's leading no-code platform for vision AI","Summer 2016","B2B",""
"Chaos Genius","San Francisco, CA, USA","DataOps Observability Platform for Snowflake","Winter 2020","B2B","Analytics"
"Parse","Menlo Park, CA, USA","Parse is the easiest way to build apps.","Summer 2011","B2B","Engineering, Product and Design"
"Cuboh","Victoria, BC, Canada","We help restaurants manage their online orders.","Summer 2019","B2B","Retail"
"PopSQL","San Francisco, CA, USA","SQL editor for teams","Summer 2019","B2B","Engineering, Product and Design"
"Bun","San Francisco, CA, USA","Bun is an incredibly fast all-in-one JavaScript toolkit","Summer 2019","B2B","Infrastructure"
"Symple","San Francisco, CA, USA","Last mile logistics for delivery & service teams. We bring real-time…","Summer 2016","B2B","Finance and Accounting"
"Together Software","Toronto, ON, Canada","Learn from the experts at your company.","Summer 2019","B2B","Human Resources"
"Perfect Audience","San Francisco, CA, USA","Self-service display advertising for SaaS and online retail.","Summer 2011","B2B","Marketing"
"Allure Systems","New York, NY, USA","A.I. to create stunning fashion images for eCommerce.","Winter 2019","B2B","Retail"
"Askdata","San Francisco, CA, USA","Frictionless Data","Winter 2019","B2B","Analytics"
"Ascen","Boston, MA, USA","EOR for the staffing industry","Winter 2019","B2B","Recruiting and Talent"
"Geosite","Palo Alto, CA, USA","Geosite is an enterprise SaaS platform for spatial data.","Winter 2019","B2B","Operations"
"flexEngage","Orlando, FL, USA","Dynamic transactional communications for physical stores to help…","Winter 2016","B2B","Retail"
"Bonsai","Boulder, CO, USA","The all-in-one solution for small businesses and self-employed.","Winter 2016","B2B","Finance and Accounting"
"Nova","San Francisco, CA, USA","Nova puts the power of AI to work for you, enabling a more continuous…","Winter 2016","B2B","Sales"
"Plato","San Francisco, CA, USA","Plato is the mentorship platform for engineering leaders","Winter 2016","B2B","Productivity"
"Goodybag","Austin, TX, USA","An online tool for companies to order food from restaurants and…","Winter 2016","B2B","Office Management"
"Pulpix","New York, NY, USA","Binge-watching technology for video platforms.","Winter 2016","B2B","Marketing"
"Compgun","San Francisco, CA, USA","Sales commission software that grows revenue.","Winter 2016","B2B","Human Resources"
"Locent","Santa Monica, CA, USA","Locent is an automated messaging platform for companies","Summer 2015","B2B","Marketing"
"Hickory","New York, NY, USA","Hickory turns your employees into experts.","Summer 2015","B2B","Human Resources"
"ROSS Intelligence","San Francisco, CA, USA","ROSS is an AI-powered legal research platform that can read and…","Summer 2015","B2B","Legal"
"ThinAir","Palo Alto, CA, USA","Intelligent data security for teams","Winter 2015","B2B","Security"
"Neptune.io","San Mateo, CA, USA","A self-healing platform to enrich and fix server alerts automatically","Summer 2014","B2B","Infrastructure"
"Hum","San Francisco, CA, USA","A chat program that integrates with email, with presence.","Summer 2013","B2B","Productivity"
"Teleborder","San Francisco, CA, USA","Dashboard for companies to manage immigration for their employees.","Summer 2013","B2B","Human Resources"
"Celery","San Francisco, CA, USA","Celery is a platform for pre-orders (www.trycelery.com). Accept…","Summer 2012","B2B","Retail"
"Partnered","San Francisco, CA, USA","Partnered is a digital platform automating business development…","Summer 2012","B2B","Sales"
"FileStack","San Antonio, TX, USA","Acquired by Xenon Ventures.We enable website developers to hook into…","Summer 2012","B2B","Productivity"
"DataNitro","New York, NY, USA","We speed up Excel.","Summer 2012","B2B","Engineering, Product and Design"
"Canopy Labs","New York, NY, USA","Canopy Labs automates customer analytics for small and medium-sized…","Summer 2012","B2B","Analytics"
"Trigger","San Francisco, CA, USA","Better PhoneGap.","Winter 2008","B2B","Engineering, Product and Design"
"Wingback","San Francisco, CA, USA","Wingback provides tools and APIs for SaaS pricing and packaging.","Winter 2022","B2B","Infrastructure"
"Fanchatter","Minneapolis, MN, USA","FanChatter aggregates, amplifies and empowers fan content on every…","Summer 2009","B2B","Marketing"
"Hypercontext","Toronto, ON, Canada","Meeting agendas, notes, & goals that tie back to your OKRs","Summer 2021","B2B","Productivity"
"Dataherald","Los Angeles, CA, USA","Embed NL-to-SQL into your Product 📈","Winter 2021","B2B",""
"AI.Fashion","Los Angeles, CA, USA","AI.Fashion is the AI creative suite for the fashion industry.","Summer 2020","B2B","Marketing"
"Tydo","Los Angeles, CA, USA","Turn your data into intelligence","Summer 2020","B2B","Analytics"
"Optilly/Installmonetizer","San Jose, CA, USA","Fb ad optimization platform","Winter 2012","B2B","Marketing"
"Inokyo","San Francisco, CA, USA","We bring physical stores to the digital age with cashierless checkout.","Summer 2018","B2B","Retail"
"Fibo","San Francisco, CA, USA","SaaS calendar and messaging for SMBs","Winter 2017","B2B","Productivity"
"Prelay","San Francisco, CA, USA","Team Selling Platform","Winter 2020","B2B","Sales"
"Welcome","San Francisco, CA, USA","Create jaw dropping virtual events","Winter 2020","B2B","Operations"
"Tandem","San Francisco, CA, USA","Tandem is a virtual office for remote and distributed teams.","Summer 2019","B2B","Productivity"
"Sixa","San Francisco, CA, USA","Personal computer in the cloud","Summer 2016","B2B","Engineering, Product and Design"
"Modal","San Francisco, CA, USA","digital commerce for the world’s largest auto retailers and brands.","Winter 2016","B2B","Retail"
"Pathmind","San Francisco, CA, USA","Pathmind helps industrial engineers and simulation modelers achieve…","Winter 2016","B2B","Engineering, Product and Design"
"Georgette Packaging","Kitchener, ON, Canada","Carbon neutral packaging for ambitious businesses.","Winter 2016","B2B","Supply Chain and Logistics"
"Elucify","San Francisco, CA, USA","Elucify is an API that plugs into your CRM which automatically cleans…","Winter 2016","B2B","Sales"
