"Company Name","Location","Description","Season","Type","Categories","Score"
"Canix","San Francisco, CA, USA","Canix makes it easy to get and stay compliant as a cannabis business.","Summer 2019","B2B","Security",5
"Courier","San Francisco, CA, USA","The fastest way for developers to build notifications for their app.","Summer 2019","B2B","Engineering, Product and Design",5
"Glide","San Francisco, CA, USA","Glide turns spreadsheets into beautiful, intelligent apps.","Winter 2019","B2B","Engineering, Product and Design",5
"Dover","New York, NY, USA","Your startup's all-in-one recruiting solution","Summer 2019","B2B","Recruiting and Talent",5
"Dagger","San Francisco, CA, USA","Develop your CI/CD pipelines as code and run them anywhere","Winter 2019","B2B","Engineering, Product and Design",5
"Landed","San Francisco, CA, USA","Generative AI for frontline worker hiring","Winter 2019","B2B","Recruiting and Talent",5
"Superorder","New York, NY, USA","AI customer reputation & performance management for restaurant chains.","Summer 2019","B2B","",5
"Okteto","San Francisco, CA, USA","Cloud Development Environments with one click","Winter 2019","B2B","Infrastructure",5
"Avo","San Francisco, CA, USA","Fixing data quality in product analytics.","Winter 2019","B2B","Analytics",5
"Flockjay","San Francisco, CA, USA","AI-driven learning, content, and coaching for sales teams","Winter 2019","B2B","Sales",5
"Truva","San Francisco, CA, USA","Sell more. Grind less with AI agents.","Summer 2022","B2B","Marketing",5
"HOAi","San Francisco, CA, USA","AI agent for community management","Winter 2022","B2B","Operations",5
"Requestly","San Francisco, CA, USA","Open-Source Postman alternative","Winter 2022","B2B","Engineering, Product and Design",5
"SkyLink","New York, NY, USA","Travel Management Meets AI","Winter 2022","B2B","",5
"Breadcrumbs.io","San Francisco, CA, USA","No-code scoring engine identifying your most engaged upsell opps","Summer 2021","B2B","Sales",5
"Tarsal","New York, NY, USA","Data pipeline for your security data lake.","Summer 2021","B2B","Security",5
"Enable Us","San Francisco, CA, USA","Digital Sales Rooms (Acquired by MindTickle)","Winter 2021","B2B","Sales",5
"Trendpop","San Francisco, CA, USA","Discover trends as they happen","Winter 2021","B2B","Analytics",5
"Promoted.ai","San Francisco, CA, USA","Dramatically better search and ads for marketplaces","Winter 2021","B2B","ZencoderSan Francisco, CA, USA",5
"Aquarium Learning","San Francisco, CA, USA","We help ML teams improve their models by improving their datasets","Summer 2020","B2B","Infrastructure",5
"Berbix","San Francisco, CA, USA","Convert more verified users. Instantly & accurately validate user IDs.","Summer 2018","B2B","Engineering, Product and Design",5
"Searchlight","San Francisco, CA, USA","Talent AI improving quality of hire","Winter 2019","B2B","Recruiting and Talent",5
"Zyper","San Francisco, CA, USA","Recreating social networks for brands.","Winter 2018","B2B","Marketing",5
"Lawyaw","San Francisco, CA, USA","Automating document-based workflows","Winter 2018","B2B","Legal",5
"ClearBrain","San Francisco, CA, USA","Causal Analytics for Growth Teams","Winter 2018","B2B","Marketing",5
"Pulse","San Francisco, CA, USA","We're crowdsourced Gartner so IT executives can learn directly from…","Winter 2018","B2B","Productivity",5
"Templarbit","San Francisco, CA, USA","Protecting applications from malicious activity","Summer 2017","B2B","Security",5
"Peer5","Palo Alto, CA, USA","P2P delivery network that enables high quality video streaming","Winter 2017","B2B","Infrastructure",5
"Bulletin","New York, NY, USA","Helping retailers discover and shop the best brands on the planet","Winter 2017","B2B","Retail",5
"Replicate","San Francisco, CA, USA","Run machine learning models in the cloud","Winter 2020","B2B","Infrastructure",5
"Factored Quality","New York, NY, USA","Helping 100+ brands bring all quality and compliance operations…","Winter 2020","B2B","Supply Chain and Logistics",5
"PopSQL","San Francisco, CA, USA","SQL editor for teams","Summer 2019","B2B","Engineering, Product and Design",5
"Bun","San Francisco, CA, USA","Bun is an incredibly fast all-in-one JavaScript toolkit","Summer 2019","B2B","Infrastructure",5
"Allure Systems","New York, NY, USA","A.I. to create stunning fashion images for eCommerce.","Winter 2019","B2B","Retail",5
"Askdata","San Francisco, CA, USA","Frictionless Data","Winter 2019","B2B","Analytics",5
"Inokyo","San Francisco, CA, USA","We bring physical stores to the digital age with cashierless checkout.","Summer 2018","B2B","Retail",5
"Welcome","San Francisco, CA, USA","Create jaw dropping virtual events","Winter 2020","B2B","Operations",5
"Tandem","San Francisco, CA, USA","Tandem is a virtual office for remote and distributed teams.","Summer 2019","B2B","Productivity",5
"Inventive AI","Mountain View, CA, USA","AI Agents For RFP and Questionnaire Response Automation","Summer 2023","B2B","Sales",3
"Letter AI","Chicago, IL, USA","Empowering B2B sellers with AI-powered training, coaching, and content","Summer 2023","B2B","Productivity",3
"VetRec","Seattle, WA, USA","AI Scribe for veterinarians. Saving time and improving patient care.","Summer 2023","B2B","",3
"Metal","Los Angeles, CA, USA","Metal is an AI-driven operating system for fundraising","Winter 2023","B2B","",3
"Yuma AI","Boston, MA, USA","The AI Support Agent for Ecommerce","Winter 2023","B2B","Operations",3
"Vector","Boston, MA, USA","Advertising for the new internet","Winter 2023","B2B","Marketing",3
"Pirros","Los Angeles, CA, USA","Github for Construction","Winter 2023","B2B","Engineering, Product and Design",3
"Aurelian","Seattle, WA, USA","Automating non-emergency calls for 911 centers","Summer 2022","B2B","",3
"Massdriver","Los Angeles, CA, USA","Deploy secure, scalable cloud infrastructure in minutes not days","Winter 2022","B2B","Engineering, Product and Design",3
"Vimmerse","San Jose, CA, USA","Bring your photos to life with Vimmerse","Winter 2022","B2B","Engineering, Product and Design",3
"TeamOut","Los Angeles, CA, USA","Online marketplace for team retreat venues","Winter 2022","B2B","",3
"Kodex","Boston, MA, USA","Easiest way for companies to process data requests from governments","Summer 2021","B2B","Legal",3
"DailyBot","Remote, OR, USA","AI Assistant and Chat Add-ons for Work","Summer 2021","B2B","Productivity",3
"Bite Ninja","Memphis, TN, USA","Remote labor for restaurants","Summer 2021","B2B","",3
"CustomilySt.","Louis, MO, USA","Making it easy to sell personalized products online.","Summer 2021","B2B","Engineering, Product and Design",3
"Spline","Reston, VA, USA","Design and collaborate in multiple dimensions.","Winter 2021","B2B","Productivity",3
"Manara","Berkeley, CA, USA","Connecting top Middle East talent to global tech jobs","Winter 2021","B2B","Recruiting and Talent",3
"Great Question","Oakland, CA, USA","User research on autopilot.","Winter 2021","B2B","Engineering, Product and Design",3
"ModernLoop","San Mateo, CA, USA","ModernLoop helps teams automate and streamline recruiting operations","Winter 2021","B2B","Recruiting and Talent",3
"Gaiia","Remote, OR, USA","all-in-one operating system (OS) for telcos","Winter 2021","B2B","Operations",3
"Laylo","Los Angeles, CA, USA","The CRM powering iconic musicians and events","Summer 2020","B2B","Marketing",3
"Swif.ai","Sunnyvale, CA, USA","The guardrail for AI on every device","Summer 2020","B2B","Security",3
"Nestor","San Jose, CA, USA","Skills-based talent management solutions for a dynamic workforce.","Summer 2018","B2B","Human Resources",3
"Activeloop","Mountain View, CA, USA","Database for AI","Summer 2018","B2B","Infrastructure",3
"Sourcify","San Diego, CA, USA","Sourcify helps brands manufacture products in Asia.","Winter 2018","B2B","Retail",3
"Draftbit","Chicago, IL, USA","Build mobile apps visually. Source-code included.","Winter 2018","B2B","Engineering, Product and Design",3
"Flowspace","Los Angeles, CA, USA","The operating system powering ecommerce fulfillment","Summer 2017","B2B","Supply Chain and Logistics",3
"Humanly","Bellevue, WA, USA","We empower the world’s hiring teams to grow engaged, high-performing…","Winter 2020","B2B","Recruiting and Talent",3
"Release","Los Angeles, CA, USA","Environments as a service","Winter 2020","B2B","Engineering, Product and Design",3
"Traces","Mountain View, CA, USA","Transform your video monitoring with AI","Summer 2019","B2B","Security",3
"Flo Recruit","Austin, TX, USA","We help law firms hire the best legal talent faster","Summer 2019","B2B","Recruiting and Talent",3
"FIRST","Philadelphia, PA, USA","The best way for any business to offer delivery.","Winter 2019","B2B","Operations",3
"Sorting Robotics","Los Angeles, CA, USA","We create automation technology for the cannabis industry.","Winter 2019","B2B","Supply Chain and Logistics",3
"Spire Law","Orlando, FL, USA","Tech enabled business and employment litigation law firm.","Winter 2019","B2B","Legal",3
"PlayAI","Mountain View, CA, USA","Our mission is to make Voice AI accessible and useful to all.","Winter 2023","B2B","CloudkickSan Francisco, CA, USA",3
"Shelf Engine","Seattle, WA, USA","Transforms how grocery stores buy highly perishable foods.","Summer 2018","B2B","Retail",3
"YouTeam","Mountain View, CA, USA","We make it easy for startups to hire engineers.","Winter 2018","B2B","Recruiting and Talent",3
"PullRequest","Austin, TX, USA","Code review as a service - combining automation with a network of…","Summer 2017","B2B","Engineering, Product and Design",3
"Metaplane","Boston, MA, USA","Data observability for modern data teams","Winter 2020","B2B","Engineering, Product and Design",3
"Ascen","Boston, MA, USA","EOR for the staffing industry","Winter 2019","B2B","Recruiting and Talent",3
"Dataherald","Los Angeles, CA, USA","Embed NL-to-SQL into your Product 📈","Winter 2021","B2B","",3
"AI.Fashion","Los Angeles, CA, USA","AI.Fashion is the AI creative suite for the fashion industry.","Summer 2020","B2B","Marketing",3
"Tydo","Los Angeles, CA, USA","Turn your data into intelligence","Summer 2020","B2B","Analytics",3
"Casetext","San Francisco, CA, USA","We make the world's laws free and understandable.","Summer 2013","B2B","Legal",1
"Cognito","Palo Alto, CA, USA","Frictionless, modern identity verification that starts with just a…","Summer 2014","B2B","Engineering, Product and Design",1
"Mio","Austin, TX, USA","Mio powers seamless communication between workplace chat apps.","Winter 2016","B2B","Engineering, Product and Design",1
"Font Awesome","Bentonville, AR, USA","Icons and social logos for your website.","Summer 2015","B2B","Engineering, Product and Design",1
"Clerky","Palo Alto, CA, USA","Makes legal paperwork easy for startups and their attorneys.","Summer 2011","B2B","Legal",1
"Confident LIMS","Palo Alto, CA, USA","Laboratory Information Management System (LIMS) serving…","Summer 2015","B2B","Operations",1
"SnapMagic","San Francisco, CA, USA","AI copilot for electronics design","Summer 2015","B2B","Engineering, Product and Design",1
"Assembly","South San Francisco, CA, USA","Advanced manufacturing and distribution solutions (for China-based…","Summer 2015","B2B","Supply Chain and Logistics",1
"Gemnote","San Leandro, CA, USA","Gemnote is the easiest way to design, create and send custom products.","Summer 2015","B2B","Office Management",1
"Tara AI","San Jose, CA, USA","Meet Tara AI, your new engineering efficiency co-pilot.","Winter 2015","B2B","Productivity",1
"eBrandvalue","Mountain View, CA, USA","Real-time Nielsen ratings for Brands.Accelerate marketing and product…","Winter 2015","B2B","Marketing",1
"Makrwatch","New York, NY, USA","Scale new user acquisition with YouTube Creators","Winter 2015","B2B","Marketing",1
"Tenjin","San Francisco, CA, USA","Mobile marketing analytics and infrastructure","Summer 2014","B2B","Marketing",1
"Dyspatch","Victoria, BC, Canada","Two products to help everyone email better. Dyspatch.io - Email…","Winter 2014","B2B","Marketing",1
"Zinc","San Francisco, CA, USA","The secret backbone of e-commerce.","Winter 2014","B2B","Retail",1
"PiinPoint","Kitchener, ON, Canada","PiinPoint helps businesses find the best locations for growth","Winter 2014","B2B","Office Management",1
"Etleap","San Francisco, CA, USA","Etleap is an ETL solution for creating perfect data pipelines.","Winter 2013","B2B","Infrastructure",1
"Double Robotics","Burlingame, CA, USA","Telepresence robots","Summer 2012","B2B","Productivity",1
"Upwave","San Francisco, CA, USA","Marketing analytics for the world's biggest brand marketers","Summer 2012","B2B","Operations",1
"Zentail","Columbia, MD, USA","We're making ecommerce simple connecting brands with sales channels","Summer 2012","B2B","Supply Chain and Logistics",1
"Rainforest","San Francisco, CA, USA","no-code end-to-end testing that integrates with any CI/CD pipeline","Summer 2012","B2B","Engineering, Product and Design",1
"MOVEdot","San Francisco, CA, USA","AI Agents for Hardware Engineering","Fall 2025","B2B","Engineering, Product and Design",1
"Reacher","San Francisco, CA, USA","We automate creator marketing for the world's largest brands","Summer 2025","B2B","",1
"Metis","San Francisco, CA, USA","Infrastructure to build reliable agents","Summer 2025","B2B","Infrastructure",1
"Idler","San Francisco, CA, USA","Reinforcement learning environments.","Summer 2025","B2B","Engineering, Product and Design",1
"GETASAP","San Francisco, CA, USA","8-hour Produce Distribution for Retailers of Any Size","Summer 2025","B2B","Supply Chain and Logistics",1
"QualGent","San Francisco, CA, USA","AI Mobile App Quality Assurance Tester","Spring 2025","B2B","",1
"Auctor","New York, NY, USA","The agentic operating system for modern system integrators.","Spring 2025","B2B","",1
"RescueTime","Seattle, WA, USA","Take Back Control of your Time","Winter 2008","B2B","Productivity",1
"AfterQuery","San Francisco, CA, USA","Research lab investigating the boundaries of AI capabilities.","Winter 2025","B2B","Infrastructure",1
"AthenaHQ","San Francisco, CA, USA","Be the Answer in AI Search - AI SEO across SEO, GEO & AEO","Winter 2025","B2B","Marketing",1
"SalesPatriot","San Francisco, CA, USA","We help defense firms win more contracts with the Pentagon","Winter 2025","B2B","Operations",1
"Contrario","San Francisco, CA, USA","Fill critical roles faster with AI-empowered recruiters","Winter 2025","B2B","Recruiting and Talent",1
"Origami","San Francisco, CA, USA","Find your perfect leads with one prompt","Fall 2024","B2B","Sales",1
"Cekura","San Francisco, CA, USA","Voice AI and Chat AI agents: Testing and Observability","Fall 2024","B2B","Engineering, Product and Design",1
"Delineate","Boston, MA, USA","Agents for Accelerated Clinical Trial Design","Winter 2025","B2B","Engineering, Product and Design",1
"Pipeshift","San Francisco, CA, USA","Inference for real-time production workloads","Summer 2024","B2B","Infrastructure",1
"Oway","San Francisco, CA, USA","AI Infrastructure for America’s Empty Truck Space","Summer 2024","B2B","Infrastructure",1
"&AI","San Francisco, CA, USA","Collaborative workspace for patent litigators","Summer 2024","B2B","Legal",1
"Cartage","San Francisco, CA, USA","Autonomous freight coordination","Summer 2024","B2B","Supply Chain and Logistics",1
"Simple AI","San Francisco, CA, USA","AI voice that sells","Summer 2024","B2B","Sales",1
"Intryc","San Francisco, CA, USA","Intryc uses AI to automate quality assurance for customer support","Summer 2024","B2B","Operations",1
"Distro","Palo Alto, CA, USA","The AI co-pilot for sales reps at industrial wholesale distributors.","Summer 2024","B2B","Supply Chain and Logistics",1
"Drillbit","Austin, TX, USA","Automating Office Work for Residential Contractors.","Summer 2024","B2B","Operations",1
"Clearly AI","Seattle, WA, USA","Automate security and privacy reviews","Summer 2024","B2B","Security",1
"Wordware","San Francisco, CA, USA","AI agents you can rely on","Summer 2024","B2B","Infrastructure",1
"Codes Health","New York, NY, USA","Medical Record Retrieval with Zero Human Error","Summer 2024","B2B","",1
"Domu Technology Inc.","San Francisco, CA, USA","AI Agents for collections","Summer 2024","B2B","Engineering, Product and Design",1
"Reform","San Francisco, CA, USA","Workflow automation. Built for logistics.","Winter 2024","B2B","Supply Chain and Logistics",1
"Ryse","New York, NY, USA","The secondary market for real estate leases","Winter 2024","B2B","",1
"OffDeal","New York, NY, USA","AI-native investment bank for small businesses","Winter 2024","B2B","",1
"Delve","San Francisco, CA, USA","AI that makes compliance effortless","Winter 2024","B2B","Security",1
"Conduit","San Francisco, CA, USA","Conversational AI agents for Customer Service.","Winter 2024","B2B","",1
"Toma","San Francisco, CA, USA","AI for Underserved Industries","Winter 2024","B2B","Operations",1
"Carma","San Francisco, CA, USA","The AI Operating System For Modern Fleets.","Winter 2024","B2B","Operations",1
"sync.","San Francisco, CA, USA","AI lipsync tool for video content creators","Winter 2024","B2B","",1
"Central","San Francisco, CA, USA","Payroll, benefits, state compliance & other bullsh*t for startups","Summer 2024","B2B","Human Resources",1
"Respan","San Francisco, CA, USA","Self-driving observability, evals, and gateway for AI agents","Winter 2024","B2B","Infrastructure",1
"Zaymo","Lehi, UT, USA","Interactive email builder for ecommerce brands","Winter 2024","B2B","Marketing",1
"Artisan","San Francisco, CA, USA","AI employees called Artisans, starting with an AI BDR","Winter 2024","B2B","",1
"Garage","New York, NY, USA","Building the marketplace that powers America’s most essential assets","Winter 2024","B2B","",1
"Alex","San Francisco, CA, USA","Your AI recruiter for interviewing and identifying the best talent","Winter 2024","B2B","Recruiting and Talent",1
"Greptile","San Francisco, CA, USA","AI code review agent with complete context of your codebase","Winter 2024","B2B","Engineering, Product and Design",1
"Driver","Austin, TX, USA","Context for Codebases","Winter 2024","B2B","",1
"Onyx","San Francisco, CA, USA","Open Source AI Chat","Winter 2024","B2B","Productivity",1
"Terminal","Toronto, ON, Canada","Plaid for Telematics Data in Commercial Trucking","Summer 2023","B2B","Supply Chain and Logistics",1
"Volantio","Atlanta, GA, USA","Post-booking revenue and capacity optimization for airlines…","Winter 2009","B2B","Marketing",1
"Provision","Toronto, ON, Canada","Ironclad for construction","Summer 2022","B2B","Infrastructure",1
"Armilla AI","Toronto, ON, Canada","AI/LLM Assessment & Warranty Solutions","Winter 2022","B2B","Analytics",1
"Scispot","Kitchener, ON, Canada","The Best Data Infrastructure for Biotechs","Summer 2021","B2B","",1
"Secoda","Toronto, ON, Canada","Secoda is the AI layer for your Analytics","Summer 2021","B2B","Analytics",1
"Topkey","San Francisco, CA, USA","Winter 2021","B2B","Finance and Accounting","",1
"OwnLocal","Austin, TX, USA","OwnLocal automates marketing for over 129,000 SMBs through 3,300…","Winter 2010","B2B","Marketing",1
"TyltGO","Kitchener, ON, Canada","TyltGO powers retailers with same-day delivery.","Summer 2020","B2B","Supply Chain and Logistics",1
"DemandSphere","Columbus, OH, USA","SEO & Content Marketing Intelligence","Summer 2010","B2B","Marketing",1
"Sourceress","San Francisco, CA, USA","Summer 2017","B2B","Engineering, Product and Design","",1
"Expo","Palo Alto, CA, USA","Expo brings together the best of web and native app development","Summer 2016","B2B","Infrastructure",1
"Taiv","Winnipeg, MB, Canada","Taiv uses AI to make businesses TVs more entertaining & valuable.","Winter 2020","B2B","Marketing",1
"Circa","Santa Fe, NM, USA","Event marketing CRM","Summer 2016","B2B","Marketing",1
"treble.aiSão","Paulo, SP, Brazil","We help companies scale marketing campaigns through WhatsApp","Summer 2019","B2B","Marketing",1
"Switchboard","Vancouver, BC, Canada","Technology for Trucking","Winter 2019","B2B","Supply Chain and Logistics",1
"Convictional","Toronto, ON, Canada","Convictional is reinventing business operations","Winter 2019","B2B","Operations",1
"NuCypher (aka Threshold Network)","Austin, TX, USA","Network for decentralized threshold cryptography and end-to-end…","Summer 2016","B2B","",1
"Videopixie","San Francisco, CA, USA","Marketplace for Video Production Services. We help you hire the best…","Summer 2011","B2B","Marketing",1
"NetBeez","Pittsburgh, PA, USA","Network monitoring from the end-user perspective","Winter 2016","B2B","Infrastructure",1
"LeadGenius","Berkeley, CA, USA","LeadGenius is an account-based marketing and lead generation…","Summer 2011","B2B","Sales",1
"Castle","San Francisco, CA, USA","Block bots & bad behavior","Winter 2016","B2B","Security",1
"Revl","San Francisco, CA, USA","AI edited video souvenirs as a service","Winter 2016","B2B","Marketing",1
"PocketSuite","San Francisco, CA, USA","PocketSuite makes it easy for your clients to book and pay you","Winter 2016","B2B","Productivity",1
"Gigwell","Los Angeles, CA, USA","Building the Future of Live Event Bookings.","Winter 2016","B2B","Productivity",1
"Copia","San Francisco, CA, USA","Copia's a for-profit technology company that solves food waste &…","Winter 2016","B2B","Office Management",1
"Pagelever","San Francisco, CA, USA","Facebook analytics. Acquired by Unified in January 2013.","Summer 2011","B2B","Analytics",1
"Citus Data","San Francisco, CA, USA","Real-time. Big data. PostgreSQL","Summer 2011","B2B","Infrastructure",1
"Jopwell","New York, NY, USA","Career advancement for Black, Latinx & Native American professionals.","Summer 2015","B2B","Recruiting and Talent",1
"Mobydish","Austin, TX, USA","MobyDish, a tech-enabled service, allowing anyone to place a catering…","Winter 2015","B2B","Retail",1
"Smarking","San Francisco, CA, USA","Digitize $655B parking industry","Winter 2015","B2B","Analytics",1
"HigherMe","Toronto, ON, Canada","Helping restaurant employers find & hire better employees faster","Winter 2015","B2B","Recruiting and Talent",1
"Smyte","San Francisco, CA, USA","Smyte stops bad actors on social networks and marketplaces.","Winter 2015","B2B","Security",1
"Replenish","San Leandro, CA, USA","Keurig machine for smoothies.","Summer 2014","B2B","Office Management",1
"Clara Labs","San Francisco, CA, USA","Clara is a human-in-the-loop assistant that helps automate repetitive…","Summer 2014","B2B","Productivity",1
"Avametric","San Francisco, CA, USA","Simulate clothes on your body.","Winter 2014","B2B","Engineering, Product and Design",1
"SketchDeck","San Francisco, CA, USA","Operating system for creative agencies","Winter 2014","B2B","Productivity",1
"Liftigniter","San Francisco, CA, USA","Machine Learning personalization for dynamic digital properties -…","Winter 2014","B2B","Marketing",1
"Next Caller","New York, NY, USA","Next Caller creates a positive customer experience through real-time…","Winter 2014","B2B","Sales",1
"Two Tap","San Francisco, CA, USA","Two Tap connects retailers to companies that want to sell their…","Winter 2014","B2B","Retail",1
"Datarank","Fayetteville, AR, USA","Making sense of social data. (Acquired by SimplyMeasured.)","Summer 2013","B2B","Marketing",1
"Hackermeter","San Francisco, CA, USA","Replacing resume screening with code challenges.","Summer 2013","B2B","Recruiting and Talent",1
"Apptimize","San Francisco, CA, USA","Apptimize lets mobile teams innovate faster to create an amazing user…","Summer 2013","B2B","Engineering, Product and Design",1
"URX","San Francisco, CA, USA","Mobile ads that users like. Acquired by Pinterest in May 2016.","Summer 2013","B2B","Engineering, Product and Design",1
"Mattermark","San Francisco, CA, USA","Big Data Meets Startup Investing The best tool for tracking and…","Summer 2012","B2B","Sales",1
"Swiftype","San Francisco, CA, USA","Smart search for the modern team.","Winter 2012","B2B","Engineering, Product and Design",1
"Pixate","Palo Alto, CA, USA","Mobile application prototyping. Now part of Google.","Summer 2012","B2B","Infrastructure",1
"Clickfacts","San Francisco, CA, USA","Summer 2005","B2B","Security","",1
"Wufoo","Tampa, FL, USA","Online form builder.","Winter 2006","B2B","Marketing",1
"Inkling","Chicago, IL, USA","Winter 2006","B2B","Finance and Accounting","XobniSan Francisco, CA, USA",1
"Summer 2006","","B2B","Productivity","ClickpassSan Francisco, CA, USA","Summer 2007",1
"B2B","","Engineering, Product and Design","","","",1
"ZumoDrive","Burlingame, CA, USA","Media in the cloud","Summer 2007","B2B","Productivity",1
"Disqus","San Francisco, CA, USA","Add comments to your website.","Summer 2007","B2B","Engineering, Product and Design",1
"280 North","San Francisco, CA, USA","Winter 2008","B2B","Engineering, Product and Design","",1
"Sepal AI","San Francisco, CA, USA","Data Development for Advanced AI","Summer 2024","B2B","ChuteSan Francisco, CA, USA",1
"Discover the photos and videos people are taking of your brand or…","","Winter 2012","B2B","Marketing","",1
"Winter 2009","","B2B","Infrastructure","","",1
"RethinkDB","San Francisco, CA, USA","The open source database for the realtime web.","Summer 2009","B2B","Infrastructure",1
"Video Encoding API, Open source video player (video.js)","","Winter 2010","B2B","Infrastructure","",1
"All Screen","Santa Monica, CA, USA","Connecting users with engaging video content across the web.…","Winter 2010","B2B","Marketing",1
"Chartio","San Francisco, CA, USA","Chartio is changing how companies work by building the best…","Summer 2010","B2B","Analytics",1
"Lyrebird","Montreal, QC, Canada","Our tech speaks for itself.","Summer 2017","B2B","Engineering, Product and Design",1
"Earbits","Los Angeles, CA, USA","Google AdWords for music. Allowing bands and labels to bid for…","Winter 2011","B2B","Marketing",1
"Upverter","Toronto, ON, Canada","The future of hardware design. A marketplace for hardware engineering…","Winter 2011","B2B","Engineering, Product and Design",1
"Parse","Menlo Park, CA, USA","Parse is the easiest way to build apps.","Summer 2011","B2B","Engineering, Product and Design",1
"Cuboh","Victoria, BC, Canada","We help restaurants manage their online orders.","Summer 2019","B2B","Retail",1
"Together Software","Toronto, ON, Canada","Learn from the experts at your company.","Summer 2019","B2B","Human Resources",1
"Nova","San Francisco, CA, USA","Nova puts the power of AI to work for you, enabling a more continuous…","Winter 2016","B2B","Sales",1
"Goodybag","Austin, TX, USA","An online tool for companies to order food from restaurants and…","Winter 2016","B2B","Office Management",1
"Hickory","New York, NY, USA","Hickory turns your employees into experts.","Summer 2015","B2B","Human Resources",1
"ThinAir","Palo Alto, CA, USA","Intelligent data security for teams","Winter 2015","B2B","Security",1
"Hum","San Francisco, CA, USA","A chat program that integrates with email, with presence.","Summer 2013","B2B","Productivity",1
"Teleborder","San Francisco, CA, USA","Dashboard for companies to manage immigration for their employees.","Summer 2013","B2B","Human Resources",1
"FileStack","San Antonio, TX, USA","Acquired by Xenon Ventures.We enable website developers to hook into…","Summer 2012","B2B","Productivity",1
"DataNitro","New York, NY, USA","We speed up Excel.","Summer 2012","B2B","Engineering, Product and Design",1
"Canopy Labs","New York, NY, USA","Canopy Labs automates customer analytics for small and medium-sized…","Summer 2012","B2B","Analytics",1
"Trigger","San Francisco, CA, USA","Better PhoneGap.","Winter 2008","B2B","Engineering, Product and Design",1
"Fanchatter","Minneapolis, MN, USA","FanChatter aggregates, amplifies and empowers fan content on every…","Summer 2009","B2B","Marketing",1
"Hypercontext","Toronto, ON, Canada","Meeting agendas, notes, & goals that tie back to your OKRs","Summer 2021","B2B","Productivity",1
"Sixa","San Francisco, CA, USA","Personal computer in the cloud","Summer 2016","B2B","Engineering, Product and Design",1
"Modal","San Francisco, CA, USA","digital commerce for the world’s largest auto retailers and brands.","Winter 2016","B2B","Retail",1
"Pathmind","San Francisco, CA, USA","Pathmind helps industrial engineers and simulation modelers achieve…","Winter 2016","B2B","Engineering, Product and Design",1
"Georgette Packaging","Kitchener, ON, Canada","Carbon neutral packaging for ambitious businesses.","Winter 2016","B2B","Supply Chain and Logistics",1
